---TranskribusBaseLineEvaluationScheme--- 

Evaluation performed on 2019.09.30 at 08:58:38 
Evaluation performed for GT evaluation_output\gt_pages_simple.lst
Evaluation performed for HYPO evaluation_output\generated_pages_simple.lst
Number of pages: 1010

Loading protocol: 
   Everything loaded without errors.

1010 out of 1010 GT-HYPO pairs loaded without errors and used for evaluation.

Number of groundtruth lines: 88647
Number of hypothesis lines: 60505

Pagewise evaluation :
#P value, #R value, #F_1 value, #TruthFileName, #HypoFileName
    0.8892,     0.9385,     0.9132, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0029.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0029.xml
    0.8633,     0.9595,     0.9089, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0031.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0031.xml
    1.0000,     1.0000,     1.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-079-0035.xml, ../../demo/baseline_extraction_output\BHIC_5117-079-0035.xml
    0.7990,     0.9843,     0.8820, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0001.xml
    0.8948,     0.8241,     0.8580, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0003.xml
    0.8936,     0.8794,     0.8865, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0005.xml
    0.9001,     0.9101,     0.9051, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0007.xml
    0.8931,     0.8728,     0.8828, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0009.xml
    0.8905,     0.9239,     0.9069, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0011.xml
    0.9175,     0.9368,     0.9271, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0015.xml
    0.8775,     0.8900,     0.8837, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0017.xml
    0.8816,     0.9285,     0.9044, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0019.xml
    0.9103,     0.9305,     0.9202, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0021.xml
    0.8867,     0.9341,     0.9098, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0023.xml
    0.8825,     0.9215,     0.9016, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0025.xml
    0.9060,     0.9877,     0.9451, ../../data/cbad-masks/complex/test/gt\BHIC_5117-080-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-080-0027.xml
    0.8928,     0.8387,     0.8649, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0003.xml
    0.8981,     0.9000,     0.8991, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0005.xml
    0.8807,     0.8991,     0.8898, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0007.xml
    0.9056,     0.8538,     0.8789, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0009.xml
    0.9032,     0.9394,     0.9209, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0011.xml
    0.9170,     0.9368,     0.9268, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0013.xml
    0.8964,     0.9557,     0.9251, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0015.xml
    0.9032,     0.9497,     0.9258, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0019.xml
    0.8984,     0.9525,     0.9247, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0021.xml
    0.9188,     0.9595,     0.9387, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0023.xml
    0.9203,     0.9205,     0.9204, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0025.xml
    0.8891,     0.9507,     0.9188, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0027.xml
    0.9112,     0.9374,     0.9241, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0029.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0029.xml
    1.0000,     1.0000,     1.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-081-0031.xml, ../../demo/baseline_extraction_output\BHIC_5117-081-0031.xml
    0.8743,     0.9145,     0.8939, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0003.xml
    0.9091,     0.9030,     0.9061, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0005.xml
    0.8631,     0.9079,     0.8849, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0007.xml
    0.8576,     0.9282,     0.8915, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0009.xml
    0.9254,     0.9239,     0.9247, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0011.xml
    0.9041,     0.9470,     0.9251, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0013.xml
    0.8546,     0.9062,     0.8796, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0015.xml
    0.9064,     0.9377,     0.9218, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0019.xml
    0.9313,     0.9548,     0.9429, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0021.xml
    0.9107,     0.9356,     0.9230, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0023.xml
    0.8984,     0.9572,     0.9269, ../../data/cbad-masks/complex/test/gt\BHIC_5117-082-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-082-0025.xml
    0.8571,     0.9828,     0.9157, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0001.xml
    0.8613,     0.9380,     0.8980, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0003.xml
    0.9062,     0.9041,     0.9051, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0005.xml
    0.8726,     0.9336,     0.9021, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0009.xml
    0.8541,     0.9471,     0.8982, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0011.xml
    0.8815,     0.9100,     0.8956, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0013.xml
    0.8590,     0.9187,     0.8879, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0015.xml
    0.9040,     0.9893,     0.9447, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0017.xml
    0.8757,     0.9067,     0.8910, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0019.xml
    0.8768,     0.9760,     0.9237, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0021.xml
    0.8955,     0.9823,     0.9369, ../../data/cbad-masks/complex/test/gt\BHIC_5117-083-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-083-0025.xml
    0.6321,     0.8891,     0.7389, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0001.xml
    0.8457,     0.9433,     0.8918, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0003.xml
    0.8497,     0.9113,     0.8795, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0005.xml
    0.8696,     0.9522,     0.9090, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0007.xml
    0.8725,     0.9758,     0.9213, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0009.xml
    0.8262,     0.9290,     0.8746, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0011.xml
    0.8996,     0.9186,     0.9090, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0015.xml
    0.8675,     0.9576,     0.9103, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0017.xml
    0.9001,     0.9560,     0.9272, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0019.xml
    0.8538,     0.8523,     0.8531, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0021.xml
    0.6343,     0.9295,     0.7540, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0027.xml
    0.7755,     0.9399,     0.8498, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0029.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0029.xml
    0.7654,     0.9258,     0.8380, ../../data/cbad-masks/complex/test/gt\BHIC_5117-084-0031.xml, ../../demo/baseline_extraction_output\BHIC_5117-084-0031.xml
    1.0000,     0.9953,     0.9976, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0001.xml
    0.8150,     0.9375,     0.8720, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0003.xml
    0.8983,     0.9255,     0.9117, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0005.xml
    0.8971,     0.9183,     0.9076, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0007.xml
    0.8997,     0.8885,     0.8941, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0009.xml
    0.8374,     0.8938,     0.8647, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0011.xml
    0.9240,     0.9167,     0.9203, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0013.xml
    0.8861,     0.9390,     0.9118, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0017.xml
    0.8736,     0.9211,     0.8967, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0019.xml
    0.8689,     0.9492,     0.9073, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0021.xml
    0.7425,     0.9645,     0.8391, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0023.xml
    0.8133,     0.9543,     0.8782, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0025.xml
    0.8156,     0.9604,     0.8821, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0027.xml
    0.7758,     0.9519,     0.8549, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0029.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0029.xml
    0.0000,     1.0000,     0.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-085-0033.xml, ../../demo/baseline_extraction_output\BHIC_5117-085-0033.xml
    1.0000,     0.9871,     0.9935, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0001.xml
    0.8157,     0.9090,     0.8598, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0003.xml
    0.9098,     0.9164,     0.9131, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0005.xml
    0.8946,     0.9463,     0.9197, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0007.xml
    0.8974,     0.8868,     0.8920, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0009.xml
    0.8766,     0.9379,     0.9062, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0011.xml
    0.8994,     0.9372,     0.9179, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0015.xml
    0.8724,     0.9468,     0.9080, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0017.xml
    0.9400,     0.9594,     0.9496, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0019.xml
    0.8772,     0.9247,     0.9003, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0021.xml
    0.0000,     1.0000,     0.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0023.xml
    1.0000,     0.9953,     0.9976, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0025.xml
    0.8555,     0.8642,     0.8598, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0027.xml
    0.7881,     0.9023,     0.8413, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0031.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0031.xml
    0.7563,     0.8824,     0.8145, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0033.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0033.xml
    0.8431,     0.8644,     0.8536, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0037.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0037.xml
    0.5079,     0.7413,     0.6028, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0039.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0039.xml
    1.0000,     1.0000,     1.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-086-0041.xml, ../../demo/baseline_extraction_output\BHIC_5117-086-0041.xml
    1.0000,     0.9964,     0.9982, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0001.xml
    0.8486,     0.8951,     0.8712, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0003.xml
    0.8915,     0.9096,     0.9004, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0007.xml
    0.8706,     0.9151,     0.8923, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0009.xml
    0.8750,     0.8632,     0.8691, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0011.xml
    0.9243,     0.9239,     0.9241, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0013.xml
    0.8629,     0.8960,     0.8791, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0015.xml
    0.9022,     0.9506,     0.9258, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0017.xml
    0.8663,     0.8892,     0.8776, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0019.xml
    0.9017,     0.9234,     0.9124, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0023.xml
    0.8702,     0.9195,     0.8942, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0025.xml
    0.8833,     0.9198,     0.9012, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0027.xml
    0.8493,     0.9210,     0.8837, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0029.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0029.xml
    1.0000,     1.0000,     1.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-087-0031.xml, ../../demo/baseline_extraction_output\BHIC_5117-087-0031.xml
    0.1739,     0.9861,     0.2957, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0001.xml
    0.8049,     0.9421,     0.8681, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0003.xml
    0.8638,     0.9524,     0.9059, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0007.xml
    0.8548,     0.9286,     0.8902, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0009.xml
    0.9080,     0.9304,     0.9191, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0011.xml
    0.8947,     0.9460,     0.9196, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0013.xml
    0.8473,     0.9035,     0.8745, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0015.xml
    0.8949,     0.9447,     0.9191, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0017.xml
    0.9191,     0.9364,     0.9277, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0019.xml
    0.8544,     0.9936,     0.9188, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0023.xml
    1.0000,     1.0000,     1.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-088-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-088-0025.xml
    1.0000,     0.9999,     0.9999, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0001.xml
    0.9007,     0.8574,     0.8785, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0003.xml
    0.8661,     0.8821,     0.8740, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0005.xml
    0.9025,     0.9076,     0.9050, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0007.xml
    0.8402,     0.9241,     0.8802, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0009.xml
    0.8378,     0.9185,     0.8763, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0013.xml
    0.8659,     0.9116,     0.8882, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0015.xml
    0.8767,     0.9476,     0.9108, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0017.xml
    0.8981,     0.9538,     0.9252, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0019.xml
    0.9126,     0.9656,     0.9383, ../../data/cbad-masks/complex/test/gt\BHIC_5117-089-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-089-0021.xml
    1.0000,     0.9998,     0.9999, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0001.xml
    0.8486,     0.9672,     0.9040, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0003.xml
    0.8531,     0.9450,     0.8967, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0007.xml
    0.8004,     0.9287,     0.8598, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0009.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0009.xml
    0.8729,     0.9646,     0.9164, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0011.xml
    0.8859,     0.9809,     0.9310, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0013.xml
    0.8988,     0.9507,     0.9241, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0015.xml
    0.9196,     0.9850,     0.9512, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0017.xml
    0.9101,     0.9389,     0.9243, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0019.xml
    0.9004,     0.9328,     0.9163, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0023.xml
    0.8654,     0.9469,     0.9043, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0025.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0025.xml
    0.0000,     1.0000,     0.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-090-0027.xml, ../../demo/baseline_extraction_output\BHIC_5117-090-0027.xml
    0.6667,     0.9989,     0.7997, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0001.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0001.xml
    0.8402,     0.8408,     0.8405, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0003.xml
    0.8896,     0.8874,     0.8885, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0005.xml
    0.9096,     0.9310,     0.9202, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0007.xml
    0.8659,     0.9234,     0.8937, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0011.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0011.xml
    0.8580,     0.9372,     0.8958, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0013.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0013.xml
    0.9005,     0.9172,     0.9088, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0015.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0015.xml
    0.9036,     0.8959,     0.8997, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0017.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0017.xml
    0.9306,     0.9156,     0.9231, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0019.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0019.xml
    0.7729,     0.9069,     0.8345, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0021.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0021.xml
    1.0000,     1.0000,     1.0000, ../../data/cbad-masks/complex/test/gt\BHIC_5117-091-0023.xml, ../../demo/baseline_extraction_output\BHIC_5117-091-0023.xml
    0.8315,     0.9162,     0.8718, ../../data/cbad-masks/complex/test/gt\BHIC_5117-092-0003.xml, ../../demo/baseline_extraction_output\BHIC_5117-092-0003.xml
    0.8798,     0.9120,     0.8956, ../../data/cbad-masks/complex/test/gt\BHIC_5117-092-0005.xml, ../../demo/baseline_extraction_output\BHIC_5117-092-0005.xml
    0.8257,     0.8963,     0.8595, ../../data/cbad-masks/complex/test/gt\BHIC_5117-092-0007.xml, ../../demo/baseline_extraction_output\BHIC_5117-092-0007.xml
